SAMPLE	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE	GENE_CLEAN
SRR2938333	/home/user/ww_amr_batch/contigs/SRR2938333.contigs.fa	k141_56330	382	1184	+	ant(3'')-Ia_1	167-972/972	..======/======	1/3	82.61	99.13	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938333	/home/user/ww_amr_batch/contigs/SRR2938333.contigs.fa	k141_6905	33	566	-	ant(2'')-Ia_1	1-534/534	===============	0/0	100.00	100.00	resfinder	X04555	ant(2'')-Ia	Gentamicin;Tobramycin	ant(2'')-Ia
SRR2938334	/home/user/ww_amr_batch/contigs/SRR2938334.contigs.fa	k141_10443	613	1414	-	sul2_2	15-816/816	===============	0/0	98.28	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR2938334	/home/user/ww_amr_batch/contigs/SRR2938334.contigs.fa	k141_11868	1	619	-	blaOXA-2_1	1-619/828	============...	0/0	74.76	100.00	resfinder	DQ112222	blaOXA-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Ceftazidime;Piperacillin	blaOXA-2
SRR2938334	/home/user/ww_amr_batch/contigs/SRR2938334.contigs.fa	k141_11868	696	1660	-	ant(3'')-Ia_1	1-972/972	========/======	3/7	99.28	98.77	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938334	/home/user/ww_amr_batch/contigs/SRR2938334.contigs.fa	k141_2233	802	1992	-	tet(C)_3	1-1191/1191	===============	0/0	100.00	99.92	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline	tet(C)
SRR2938334	/home/user/ww_amr_batch/contigs/SRR2938334.contigs.fa	k141_3789	654	1520	+	sul1_5	1-867/867	===============	0/0	100.00	99.77	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_10978	42	665	+	cat_2	1-624/624	===============	0/0	100.00	100.00	resfinder	M35190	cat	Chloramphenicol	cat
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_14417	361	1227	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_17126	1945	2481	-	catS_1	1-537/537	===============	0/0	100.00	98.14	resfinder	X74948	catS	Chloramphenicol	catS
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_18070	171	1016	-	aadA6_1	1-846/846	===============	0/0	100.00	98.82	resfinder	AF140629	aadA6	Spectinomycin;Streptomycin	aadA6
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_1820	1	589	-	blaGES-11_1	1-589/864	===========....	0/0	68.17	99.83	resfinder	FJ854362	blaGES-11	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefoxitin;Ceftazidime;Piperacillin;Ticarcillin	blaGES-11
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_1820	663	1121	-	aac(6')-Il_1	1-459/459	===============	0/0	100.00	100.00	resfinder	U13880	aac(6')-Il	Amikacin;Tobramycin	aac(6')-Il
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_20676	251	1048	-	aadA13_1	1-798/798	===============	0/0	100.00	99.88	resfinder	AY713504	aadA13	Spectinomycin;Streptomycin	aadA13
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_22244	402	1238	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_22244	1238	2040	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_27469	1238	1732	+	lnu(C)_1	1-495/495	===============	0/0	100.00	99.19	resfinder	AY928180	lnu(C)	Lincomycin	lnu(C)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_33797	100	573	+	dfrA6_2	1-474/474	===============	0/0	100.00	99.58	resfinder	FJ905898	dfrA6	Trimethoprim	dfrA6
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_33797	2292	2948	+	qnrVC1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	EU436855	qnrVC1	Ciprofloxacin	qnrVC1
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_37946	307	1137	-	blaOXA-4_1	1-831/831	===============	0/0	100.00	99.88	resfinder	AY162283	blaOXA-4		blaOXA-4
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_3796	1614	2558	-	blaBRO-2_1	1-945/945	===============	0/0	100.00	99.89	resfinder	Z54181	blaBRO-2	Amoxicillin;Ampicillin;Penicillin;Piperacillin	blaBRO-2
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_38556	154	978	-	blaOXA-211_1	1-825/825	===============	0/0	100.00	97.82	resfinder	JN861779	blaOXA-211	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-211
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_40172	1	773	+	cfr(C)_2	348-1120/1251	....==========.	0/0	61.79	100.00	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M	cfr(C)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_43265	1753	2769	-	msr(D)_3	448-1464/1464	....===========	0/0	69.47	96.95	resfinder	AF227520	msr(D)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Telithromycin;Virginiamycin_S	msr(D)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_45385	940	1728	-	mef(A)_1	430-1218/1218	.....==========	0/0	64.78	90.11	resfinder	AJ971089	mef(A)	Azithromycin;Erythromycin	mef(A)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_45612	1	707	-	cfxA6_1	206-912/996	...===========.	0/0	70.98	96.61	resfinder	GQ342996	cfxA6		cfxA6
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_47973	50	853	-	lnu(B)_2	1-804/804	===============	0/0	100.00	99.75	resfinder	JQ861959	lnu(B)	Clindamycin;Lincomycin	lnu(B)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_52681	1690	2334	-	qnrB19_1	1-645/645	===============	0/0	100.00	100.00	resfinder	EU432277	qnrB19	Ciprofloxacin	qnrB19
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_533	114	1405	-	CmlA7_1	23-1314/1314	===============	0/0	98.33	99.69	resfinder	JQ639792	CmlA7	Chloramphenicol	CmlA7
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_54598	1	1739	-	tet(M)_4	156-1894/1920	.==============	0/0	90.57	99.37	resfinder	X75073	tet(M)	Doxycycline;Minocycline;Tetracycline	tet(M)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_56498	335	686	-	lnu(D)_1	144-495/495	....===========	0/0	71.11	83.52	resfinder	EF452177	lnu(D)	Lincomycin	lnu(D)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_60727	449	1028	-	aac(6')-Ib_1	27-606/606	===============	0/0	95.71	99.83	resfinder	M21682	aac(6')-Ib	Amikacin;Kanamycin;Tobramycin	aac(6')-Ib
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_60727	1422	2648	-	ere(A)_2	1-1227/1227	===============	0/0	100.00	99.84	resfinder	AF099140	ere(A)	Erythromycin	ere(A)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_60765	4022	4516	-	lnu(D)_1	1-495/495	===============	0/0	100.00	84.04	resfinder	EF452177	lnu(D)	Lincomycin	lnu(D)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_61821	1841	3316	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_61821	3372	4256	+	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_61821	5283	6470	-	tet(39)_2	1-1188/1188	===============	0/0	100.00	99.92	resfinder	CP044518	tet(39)	Doxycycline;Tetracycline;Tigecycline	tet(39)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_61905	613	2532	+	tet(W)_1	1-1920/1920	===============	0/0	100.00	99.27	resfinder	DQ060146	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_66120	21	683	-	aadA7_1	136-798/798	..=============	0/0	83.08	99.09	resfinder	AF224733	aadA7	Spectinomycin;Streptomycin	aadA7
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_67603	590	1289	+	erm(B)_18	1-699/762	========/=====.	1/1	91.73	99.29	resfinder	X66468	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_68141	5851	7068	+	mef(A)_2	1-1218/1218	===============	0/0	100.00	95.07	resfinder	U83667	mef(A)	Azithromycin;Erythromycin	mef(A)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_68141	7188	8651	+	msr(D)_3	1-1464/1464	===============	0/0	100.00	98.43	resfinder	AF227520	msr(D)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Telithromycin;Virginiamycin_S	msr(D)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_70591	87	719	+	catB3_2	1-633/633	===============	0/0	100.00	100.00	resfinder	U13880	catB3	Chloramphenicol	catB3
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_70591	767	1142	+	ARR-3_4	54-429/543	.===========...	0/0	69.24	99.47	resfinder	FM207631	ARR-3	Rifampicin	ARR-3
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_72160	1	539	+	sul2_12	278-816/816	.....==========	0/0	66.05	100.00	resfinder	AF497970	sul2	Sulfamethoxazole	sul2
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_72767	184	1404	+	tet(40)_1	1-1221/1221	===============	0/0	100.00	99.75	resfinder	FJ158002	tet(40)	Doxycycline;Tetracycline	tet(40)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_77331	63	851	+	aadA5_1	1-789/789	===============	0/0	100.00	99.62	resfinder	AF137361	aadA5	Spectinomycin;Streptomycin	aadA5
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_77331	970	1797	+	blaOXA-2_1	1-828/828	===============	0/0	100.00	100.00	resfinder	DQ112222	blaOXA-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Ceftazidime;Piperacillin	blaOXA-2
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_77804	363	896	+	ant(2'')-Ia_1	1-534/534	===============	0/0	100.00	99.44	resfinder	X04555	ant(2'')-Ia	Gentamicin;Tobramycin	ant(2'')-Ia
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_77825	187	768	-	aac(6')-IIc_1	1-582/582	===============	0/0	100.00	100.00	resfinder	NC_012555	aac(6')-IIc	Gentamicin;Tobramycin	aac(6')-IIc
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_77988	125	795	+	aadA2_1	7-677/819	=============..	0/0	81.93	99.85	resfinder	NC_010870	aadA2	Spectinomycin;Streptomycin	aadA2
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_79276	927	2117	+	tet(C)_3	1-1191/1191	===============	0/0	100.00	99.92	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline	tet(C)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_81010	30	616	+	blaOXA-427_1	1-587/795	============...	0/0	73.84	90.80	resfinder	KX827604	blaOXA-427	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam;Temocillin	blaOXA-427
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_81490	1	552	-	aph(3')-III_1	58-609/795	.===========...	0/0	69.43	100.00	resfinder	M26832	aph(3')-III	Amikacin;Butirosin;Isepamicin;Kanamycin;Lividomycin;Neomycin;Paromomycin;Ribostamycin	aph(3')-III
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_8160	420	1595	+	cmx_1	1-1176/1176	===============	0/0	100.00	99.92	resfinder	U85507	cmx	Chloramphenicol	cmx
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_8202	3721	4642	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Azithromycin;Erythromycin;Spiramycin;Telithromycin	mph(A)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_8408	278	1501	+	mef(C)_1	1-1224/1224	===============	0/0	100.00	99.92	resfinder	AB571865	mef(C)	Erythromycin	mef(C)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_8408	1506	2390	+	mph(G)_1	1-885/885	===============	0/0	100.00	99.77	resfinder	AB571865	mph(G)	Erythromycin	mph(G)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_84981	6759	8678	-	tet(O)_1	1-1920/1920	===============	0/0	100.00	99.79	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_85101	151	1591	-	tet(Q)_1	486-1926/1926	...============	0/0	74.82	99.65	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline	tet(Q)
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_86491	122	922	-	blaOXA-10_1	1-801/801	===============	0/0	100.00	99.75	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam	blaOXA-10
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_86491	941	1509	-	aadA16_1	247-815/846	....===========	0/0	67.26	99.12	resfinder	EU675686	aadA16	Spectinomycin;Streptomycin	aadA16
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_86496	17	514	+	dfrA21_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AY552589	dfrA21	Trimethoprim	dfrA21
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_88337	91	957	-	ant(6)-Ia_3	1-867/867	===============	0/0	100.00	100.00	resfinder	KF864551	ant(6)-Ia	Streptomycin	ant(6)-Ia
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_88716	211	1012	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_9083	1	627	+	blaOXA-58_1	217-843/843	...============	0/0	74.38	100.00	resfinder	AY665723	blaOXA-58	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Imipenem;Meropenem	blaOXA-58
SRR2938335	/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_91355	3478	3972	+	lnu(D)_1	1-495/495	===============	0/0	100.00	99.80	resfinder	EF452177	lnu(D)	Lincomycin	lnu(D)
SRR2938336	/home/user/ww_amr_batch/contigs/SRR2938336.contigs.fa	k141_7092	2108	2959	-	sul1_9	1-852/852	===============	0/0	100.00	100.00	resfinder	AY963803	sul1	Sulfamethoxazole	sul1
SRR2938336	/home/user/ww_amr_batch/contigs/SRR2938336.contigs.fa	k141_9608	491	1306	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_102010	1345	2160	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_113459	548	952	+	fosE_1	1-405/405	===============	0/0	100.00	100.00	resfinder	AB901041	fosE	Fosfomycin	fosE
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_142628	311	1088	+	aph(6)-Id_1	1-778/837	==============.	0/0	92.95	99.87	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_169554	1	356	+	aac(6')-Il_1	104-459/459	...============	0/0	77.56	100.00	resfinder	U13880	aac(6')-Il	Amikacin;Tobramycin	aac(6')-Il
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_191266	731	1921	-	tet(C)_3	1-1191/1191	===============	0/0	100.00	99.83	resfinder	AF055345	tet(C)	Doxycycline;Tetracycline	tet(C)
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_194687	6326	7192	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_33385	179	1042	+	blaGES-5_1	1-864/864	===============	0/0	100.00	100.00	resfinder	DQ236171	blaGES-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefoxitin;Ceftazidime;Piperacillin;Ticarcillin	blaGES-5
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_33385	1216	1734	+	aac(6')-31_1	1-519/519	===============	0/0	100.00	99.23	resfinder	AM283489	aac(6')-31	Amikacin;Gentamicin;Isepamicin;Kanamycin;Neomycin;Netilmicin;Sisomicin;Tobramycin	aac(6')-31
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_33401	2	936	+	ant(3'')-Ia_1	34-972/972	========/======	2/4	96.19	93.08	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_35866	1	510	+	blaOXA-2_1	319-828/828	.....==========	0/0	61.59	99.80	resfinder	DQ112222	blaOXA-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Ceftazidime;Piperacillin	blaOXA-2
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_70067	214	1008	-	ere(A)_2	433-1227/1227	.....==========	0/0	64.79	98.74	resfinder	AF099140	ere(A)	Erythromycin	ere(A)
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_70460	121	542	-	catB8_1	212-633/633	.....==========	0/0	66.67	97.87	resfinder	AF227506	catB8	Chloramphenicol	catB8
SRR33902036	/home/user/ww_amr_batch/contigs/SRR33902036.contigs.fa	k141_96067	263	1003	+	blaIMP-1_1	1-741/741	===============	0/0	100.00	100.00	resfinder	EF027105	blaIMP-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-1
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_102143	1591	2837	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline	tet(A)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_105156	1	1109	+	tet(X)_1	59-1167/1167	===============	0/0	95.03	99.82	resfinder	GU014535	tet(X)	Doxycycline;Minocycline;Tetracycline;Tigecycline	tet(X)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_127431	1	517	+	blaOXA-224_1	181-697/831	...==========..	0/0	62.21	98.84	resfinder	JN412067	blaOXA-224		blaOXA-224
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_128189	1	561	+	blaOXA-347_1	265-825/825	....===========	0/0	68.00	100.00	resfinder	ACWG01000053	blaOXA-347		blaOXA-347
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_142816	109874	110740	-	sul1_5	1-867/867	===============	0/0	100.00	99.65	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_143653	371	1174	+	lnu(B)_2	1-804/804	===============	0/0	100.00	98.88	resfinder	JQ861959	lnu(B)	Clindamycin;Lincomycin	lnu(B)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_144794	85	885	+	erm(F)_3	1-801/801	===============	0/0	100.00	99.75	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_42069	1	420	+	aac(6')-Ib-Hangzhou_1	100-519/519	..=============	0/0	80.92	99.76	resfinder	FJ503047	aac(6')-Ib-Hangzhou	Amikacin;Tobramycin	aac(6')-Ib-Hangzhou
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_52723	44	1039	-	cfxA6_1	1-996/996	===============	0/0	100.00	99.80	resfinder	GQ342996	cfxA6		cfxA6
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_59493	428	1243	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_61252	1	1016	-	FloR_4	1-1016/1215	=============..	0/0	83.62	95.77	resfinder	CP136914	FloR	Chloramphenicol;Florfenicol	FloR
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_62337	1	599	-	ant(3'')-Ia_1	1-606/972	========/=.....	3/7	61.63	98.52	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_63643	1	638	-	cfxA3_1	1-638/966	==========.....	0/0	66.05	100.00	resfinder	AF472622	cfxA3	Ampicillin	cfxA3
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_6726	1	1302	-	tet(W)_3	1-1302/1920	===========....	0/0	67.81	99.54	resfinder	AJ427421	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_7399	1	532	-	erm(G)_1	1-532/735	===========....	0/0	72.38	99.25	resfinder	M15332	erm(G)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(G)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_86726	251	2163	+	tet(Q)_1	1-1913/1926	===============	0/0	99.33	99.48	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline	tet(Q)
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_89262	10487	11323	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR33902050	/home/user/ww_amr_batch/contigs/SRR33902050.contigs.fa	k141_89262	11323	12125	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	99.88	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_108137	581	2056	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_108137	2112	2996	+	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_175489	130	1356	+	ere(D)_1	1-1227/1227	===============	0/0	100.00	98.53	resfinder	KP265721	ere(D)	Erythromycin	ere(D)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_175489	1569	2372	-	tet(X)_2	364-1167/1167	....===========	0/0	68.89	99.88	resfinder	M37699	tet(X)	Doxycycline;Minocycline;Tetracycline;Tigecycline	tet(X)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_299024	614	1414	-	erm(F)_3	1-801/801	===============	0/0	100.00	99.75	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_416253	1594	2390	-	mph(G)_1	89-885/885	.==============	0/0	90.06	99.75	resfinder	AB571865	mph(G)	Erythromycin	mph(G)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_519645	60	678	-	aadA1_5	174-792/792	...============	0/0	78.16	99.52	resfinder	JX185132	aadA1	Spectinomycin;Streptomycin	aadA1
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_61797	1747	2631	-	mph(G)_1	1-885/885	===============	0/0	100.00	89.49	resfinder	AB571865	mph(G)	Erythromycin	mph(G)
SRR35815511	/home/user/ww_amr_batch/contigs/SRR35815511.contigs.fa	k141_61797	2635	3370	-	mef(C)_1	489-1224/1224	.....==========	0/0	60.13	93.75	resfinder	AB571865	mef(C)	Erythromycin	mef(C)
